price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,sale_year,sale_month,sale_quarter,zipcode,city_encoded,house_age,was_renovated,years_since_reno,total_rooms,basement_flag,living_lot_ratio,price_per_sqft_est
12.653961664405365,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,2014,5,2,98133,420392.3640469756,59,1,9.0,4.5,0,0.1693415897889549,0.1693415897889549
12.742568940017076,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,2014,5,2,98042,439492.44464821625,48,0,48.0,5.0,0,0.16153331101439572,0.16153331101439572
12.948012371209098,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,2014,5,2,98008,847180.6629953356,51,0,51.0,5.25,1,0.24903498941601296,0.24903498941601296
13.217675375388819,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,2014,5,2,98052,667649.5347812298,38,1,22.0,6.5,1,0.18474431006570802,0.18474431006570802
13.102162710901053,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,2014,5,2,98115,579837.4672823235,76,1,20.0,3.0,0,0.13790941858642847,0.13790941858642847
12.721888795877375,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2014,5,2,98052,667649.5347812298,38,0,38.0,4.0,0,0.5271378367825068,0.5271378367825068
13.085701467719382,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,2014,5,2,98038,336474.9118055521,25,0,25.0,6.5,0,0.07555270567899858,0.07555270567899858
13.022545252064427,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,2014,5,2,98045,399565.70666666003,29,0,29.0,5.5,1,0.0274802944801927,0.0274802944801927
13.369225017834633,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,2014,5,2,98115,579837.4672823235,69,1,4.0,6.0,0,0.24512175455571683,0.24512175455571683
13.045484492893253,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,2014,5,2,98155,448475.0,66,1,20.0,4.75,0,0.23357464827209398,0.23357464827209398
14.151983508870947,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,2014,5,2,98105,579837.4672823235,105,1,26.0,6.5,1,0.7298175456135966,0.7298175456135966
13.285333904916369,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,2014,5,2,98074,686917.5835323657,34,0,34.0,4.75,1,0.15644933861545693,0.15644933861545693
12.807655372286902,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2014,5,2,98106,579837.4672823235,59,1,5.0,4.0,0,0.16935985083903046,0.16935985083903046
13.997832948091215,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,2014,5,2,98105,579837.4672823235,75,1,45.0,7.75,0,0.30692964877122664,0.30692964877122664
12.398761113062513,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,2014,5,2,98042,439492.44464821625,49,0,49.0,4.5,0,0.12344409011418578,0.12344409011418578
12.945628585536271,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,2014,5,2,98007,847180.6629953356,58,0,58.0,4.5,0,0.23429338904641098,0.23429338904641098
12.814481318719762,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,2014,5,2,98092,299340.44276556815,17,0,17.0,7.0,0,0.430033185840708,0.430033185840708
12.460524923385575,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,2014,5,2,98198,304992.54679803445,27,1,14.0,4.75,0,0.23382829834442737,0.23382829834442737
12.524530013005734,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,2014,5,2,98045,399565.70666666003,31,1,5.0,4.5,0,0.11480832846857365,0.11480832846857365
